id,TRUE,predict,AE,MAE
3547,0,0.300104022,0.300104022,0.211
875,1.381899953,0.106822729,1.275077224,
67533,0,0.00029695,0.00029695,
25123,2.447000027,2.475533009,0.028532982,
63030,0.256500006,0.51502794,0.258527935,
98486,0,0.017603636,0.017603636,
24091,1.903499961,2.501953125,0.598453164,
36655,0,0.063804865,0.063804865,
38109,0,0.16097939,0.16097939,
1864,0,0.054364443,0.054364443,
94863,0,0.025591731,0.025591731,
89881,0.242699996,0.03697145,0.205728546,
53435,1.493000031,1.287793756,0.205206275,
63367,2.916699886,3.062860489,0.146160603,
49584,0,0.008301377,0.008301377,
45413,0,0.006737828,0.006737828,
54550,0,0.03292048,0.03292048,
30627,0.293799996,0.032516241,0.261283755,
52393,0,0.02062571,0.02062571,
92289,0,-0.171078563,0.171078563,
78535,4.576900005,3.780505657,0.796394348,
44190,3.346600056,3.295894623,0.050705433,
40604,1.159600019,1.147628546,0.011971474,
15393,0.710300028,0.50899297,0.201307058,
75650,0,-0.013887525,0.013887525,
50375,0,-0.026195049,0.026195049,
37811,0,-0.224169612,0.224169612,
64036,2.07220006,2.175296783,0.103096724,
44466,0,0.132887602,0.132887602,
96344,3.749200106,3.435704708,0.313495398,
60227,0,0.00922513,0.00922513,
99905,0,0.008085012,0.008085012,
101651,0,-0.015811205,0.015811205,
43074,0.399800003,0.193136573,0.20666343,
60889,2.449300051,2.136204958,0.313095093,
24052,1.105800033,0.664068699,0.441731334,
3412,0,0.252543449,0.252543449,
21584,2.890000105,2.363454819,0.526545286,
78840,0,0.004145384,0.004145384,
68822,5.364200115,5.433898926,0.069698811,
1711,0,0.450083911,0.450083911,
46992,3.041500092,3.149541855,0.108041763,
40839,0,0.089714646,0.089714646,
29147,0.955799997,0.997768402,0.041968405,
91822,4.840799809,4.790180206,0.050619602,
55725,0,-0.001583099,0.001583099,
85390,0,-0.007450581,0.007450581,
17729,0,-0.144265294,0.144265294,
105337,0,0.017155766,0.017155766,
49331,3.584100008,3.035904408,0.548195601,
81348,0,0.046803951,0.046803951,
7553,0,0.144673944,0.144673944,
52017,4.84649992,4.683398247,0.163101673,
64727,0.137400001,2.450228691,2.31282869,
45098,3.975699902,3.75287962,0.222820282,
10800,3.230999947,4.928387642,1.697387695,
80640,0,-0.014243364,0.014243364,
42579,0,0.026766896,0.026766896,
75811,3.226399899,3.426030636,0.199630737,
46963,3.862600088,3.803836346,0.058763742,
61703,0,0.041725159,0.041725159,
52056,0,0.340186834,0.340186834,
101243,0.537100017,0.575750828,0.038650811,
57070,1.734699965,1.345934033,0.388765931,
82697,0,0.037537694,0.037537694,
65100,2.66260004,2.632257462,0.030342579,
57607,0.090800002,-0.004801035,0.095601037,
9104,0,-0.132872701,0.132872701,
45001,2.161900043,2.172064543,0.010164499,
21681,0.258399993,0.432713687,0.174313694,
103690,0,0.013729334,0.013729334,
71269,0,0.039434791,0.039434791,
